role,category,avg_salary_2024,projected_salary_2027,openings_trend,automation_exposure,emerging_skills
Software Engineer,Engineering,125000,135000,0.08,0.20,"TypeScript;Rust;Cloud Architecture;AI/ML"
Frontend Developer,Engineering,110000,105000,-0.05,0.35,"React;Next.js;TypeScript;UI/UX Design"
Backend Developer,Engineering,120000,128000,0.05,0.22,"Go;Rust;Cloud Architecture;Kubernetes"
Full Stack Developer,Engineering,118000,115000,-0.02,0.28,"TypeScript;Next.js;Cloud Architecture;DevOps"
Data Scientist,Data,130000,140000,0.12,0.18,"Machine Learning;Deep Learning;Python;LLM Fine-tuning"
Data Analyst,Data,85000,82000,-0.04,0.45,"SQL;Python;Data Analysis;Machine Learning"
ML Engineer,AI/ML,145000,165000,0.22,0.10,"Deep Learning;LLM Fine-tuning;Python;Cloud Architecture"
AI Engineer,AI/ML,150000,175000,0.28,0.08,"Prompt Engineering;LLM Fine-tuning;Deep Learning;Python"
DevOps Engineer,Infrastructure,125000,135000,0.10,0.18,"Kubernetes;Cloud Architecture;DevOps;Cybersecurity"
Cloud Architect,Infrastructure,155000,170000,0.15,0.10,"Cloud Architecture;Kubernetes;Cybersecurity;DevOps"
Cybersecurity Analyst,Security,105000,125000,0.20,0.12,"Cybersecurity;Cloud Architecture;Python;DevOps"
Product Manager,Management,130000,128000,-0.02,0.30,"Communication;Leadership;Data Analysis;Agile/Scrum"
Project Manager,Management,100000,88000,-0.08,0.50,"Agile/Scrum;Communication;Project Management;Leadership"
UX Designer,Design,105000,98000,-0.05,0.40,"UI/UX Design;Figma;Communication;Problem Solving"
Technical Writer,Content,80000,72000,-0.08,0.55,"Technical Writing;Communication;AI/ML;Prompt Engineering"
QA Engineer,QA,90000,78000,-0.10,0.55,"Manual Testing;Python;DevOps;Cybersecurity"
AI Ethics Officer,AI/ML,140000,165000,0.30,0.05,"Prompt Engineering;Communication;Critical Thinking;Leadership"
Platform Engineer,Infrastructure,135000,150000,0.18,0.12,"Docker;Terraform;Kubernetes;Cloud Architecture"
Growth Engineer,Engineering,125000,138000,0.12,0.20,"Python;SQL;Data Analysis;React"
Site Reliability Engineer,Infrastructure,140000,155000,0.16,0.14,"Kubernetes;Docker;Cloud Architecture;Python"
Data Engineer,Data,130000,148000,0.20,0.15,"Apache Spark;Kafka;SQL;Python"
Solutions Architect,Infrastructure,150000,162000,0.10,0.12,"Cloud Architecture;System Design;API Design;Communication"
Engineering Manager,Management,160000,170000,0.06,0.15,"Leadership;Communication;Agile/Scrum;System Design"
Security Engineer,Security,135000,155000,0.22,0.10,"Cybersecurity;Cloud Architecture;Docker;Python"
Mobile Developer,Engineering,115000,118000,0.02,0.25,"React Native;Flutter;TypeScript;API Design"
Game Developer,Engineering,105000,110000,0.04,0.18,"Python;Problem Solving;System Design;Cloud Architecture"
Blockchain Developer,Engineering,130000,125000,-0.03,0.08,"Rust;TypeScript;Cybersecurity;System Design"
Technical Product Manager,Management,140000,145000,0.05,0.22,"Communication;Leadership;Data Analysis;System Design"
Research Scientist,AI/ML,145000,168000,0.18,0.06,"Deep Learning;Machine Learning;Python;Critical Thinking"
Developer Advocate,Content,120000,130000,0.14,0.20,"Communication;Technical Writing;React;Python"
Database Administrator,Data,110000,105000,-0.04,0.35,"PostgreSQL;MongoDB;SQL;Redis"
API Developer,Engineering,118000,126000,0.08,0.22,"GraphQL;API Design;TypeScript;Python"
MLOps Engineer,AI/ML,140000,160000,0.24,0.10,"MLflow;Docker;Kubernetes;Cloud Architecture"
Infrastructure Engineer,Infrastructure,128000,140000,0.12,0.16,"Terraform;Docker;Cloud Architecture;Kubernetes"
